fta, f400_k100, 1, 0.836703
fta, f400_k100, 2, 0.840758
fta, f400_k100, 4, 0.847384
fta, f400_k100, 8, 0.860574
fta, f400_k100, 16, 0.881884
fta, f400_k100, 32, 0.903152
fta, f400_k100, 64, 0.922815
fta, f400_k100, 128, 0.944747
fta, f400_k100, 256, 0.964859
fta, f400_k100, 512, 0.980664
fta, f400_k100, 1024, 0.994143
fta, f400_k100, 2048, 0.997747
fta, f400_k100, 4096, 0.998154
fta, f400_k200, 1, 0.730568
fta, f400_k200, 2, 0.734582
fta, f400_k200, 4, 0.741253
fta, f400_k200, 8, 0.754615
fta, f400_k200, 16, 0.776386
fta, f400_k200, 32, 0.798455
fta, f400_k200, 64, 0.822445
fta, f400_k200, 128, 0.855118
fta, f400_k200, 256, 0.897677
fta, f400_k200, 512, 0.940247
fta, f400_k200, 1024, 0.981567
fta, f400_k200, 2048, 0.993146
fta, f400_k200, 4096, 0.994047
fta, f400_k400, 1, 0.640199
fta, f400_k400, 2, 0.644700
fta, f400_k400, 4, 0.651810
fta, f400_k400, 8, 0.666654
fta, f400_k400, 16, 0.690889
fta, f400_k400, 32, 0.716073
fta, f400_k400, 64, 0.744661
fta, f400_k400, 128, 0.783670
fta, f400_k400, 256, 0.840403
fta, f400_k400, 512, 0.905341
fta, f400_k400, 1024, 0.973729
fta, f400_k400, 2048, 0.990507
fta, f400_k400, 4096, 0.995103
fta, f500_k100, 1, 0.828129
fta, f500_k100, 2, 0.831997
fta, f500_k100, 4, 0.838291
fta, f500_k100, 8, 0.850830
fta, f500_k100, 16, 0.871008
fta, f500_k100, 32, 0.891673
fta, f500_k100, 64, 0.911086
fta, f500_k100, 128, 0.936034
fta, f500_k100, 256, 0.960402
fta, f500_k100, 512, 0.975341
fta, f500_k100, 1024, 0.989223
fta, f500_k100, 2048, 0.992947
fta, f500_k100, 4096, 0.993905
fta, f500_k200, 1, 0.728217
fta, f500_k200, 2, 0.732293
fta, f500_k200, 4, 0.739070
fta, f500_k200, 8, 0.752839
fta, f500_k200, 16, 0.774821
fta, f500_k200, 32, 0.797311
fta, f500_k200, 64, 0.821761
fta, f500_k200, 128, 0.855568
fta, f500_k200, 256, 0.899789
fta, f500_k200, 512, 0.943495
fta, f500_k200, 1024, 0.984604
fta, f500_k200, 2048, 0.995545
fta, f500_k200, 4096, 0.996508
fta, f500_k400, 1, 0.638594
fta, f500_k400, 2, 0.643094
fta, f500_k400, 4, 0.650189
fta, f500_k400, 8, 0.665130
fta, f500_k400, 16, 0.689410
fta, f500_k400, 32, 0.714554
fta, f500_k400, 64, 0.743063
fta, f500_k400, 128, 0.782312
fta, f500_k400, 256, 0.839563
fta, f500_k400, 512, 0.904383
fta, f500_k400, 1024, 0.973211
fta, f500_k400, 2048, 0.990645
fta, f500_k400, 4096, 0.995188
fta, f600_k100, 1, 0.814526
fta, f600_k100, 2, 0.818393
fta, f600_k100, 4, 0.824734
fta, f600_k100, 8, 0.837831
fta, f600_k100, 16, 0.859793
fta, f600_k100, 32, 0.882195
fta, f600_k100, 64, 0.903616
fta, f600_k100, 128, 0.931272
fta, f600_k100, 256, 0.959028
fta, f600_k100, 512, 0.973465
fta, f600_k100, 1024, 0.987686
fta, f600_k100, 2048, 0.991480
fta, f600_k100, 4096, 0.992934
fta, f600_k200, 1, 0.719218
fta, f600_k200, 2, 0.723724
fta, f600_k200, 4, 0.731082
fta, f600_k200, 8, 0.746067
fta, f600_k200, 16, 0.770786
fta, f600_k200, 32, 0.795036
fta, f600_k200, 64, 0.820012
fta, f600_k200, 128, 0.854598
fta, f600_k200, 256, 0.900476
fta, f600_k200, 512, 0.945551
fta, f600_k200, 1024, 0.985209
fta, f600_k200, 2048, 0.995777
fta, f600_k200, 4096, 0.996882
fta, f600_k400, 1, 0.639944
fta, f600_k400, 2, 0.644373
fta, f600_k400, 4, 0.651449
fta, f600_k400, 8, 0.666328
fta, f600_k400, 16, 0.690470
fta, f600_k400, 32, 0.715332
fta, f600_k400, 64, 0.743575
fta, f600_k400, 128, 0.782773
fta, f600_k400, 256, 0.840337
fta, f600_k400, 512, 0.905853
fta, f600_k400, 1024, 0.974179
fta, f600_k400, 2048, 0.990963
fta, f600_k400, 4096, 0.995530
goqualia, f400_k100, 1, 0.698128
goqualia, f400_k100, 2, 0.727935
goqualia, f400_k100, 4, 0.767698
goqualia, f400_k100, 8, 0.816980
goqualia, f400_k100, 16, 0.865091
goqualia, f400_k100, 32, 0.904619
goqualia, f400_k100, 64, 0.931256
goqualia, f400_k100, 128, 0.957316
